study_word,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,text.stopped,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
pastry,,0,14,14,9,,,,,71.33239840017632,,71.30501690017991,71.33239840017632,71.33239840017632,,72.94946450018324,3.6259259259259258,1.6154265000950545,,,,,,,,,,,,,,,552708,001,2024-11-07_21h06.39.213,word priming,2024.1.5,None,2024-11-07 21h06.50.199891 +0530,
,_i_n_,,,,,0,0,0,4,72.97500860015862,,,,,,,,,72.95705840014853,72.97500860015862,72.97500860015862,72.97500860015862,0.012397499987855554,80.61967690009624,"ink
",[-0.002777777777777778],[-0.07962962962962963],[1],[0],[0],[7.656789399916306],[],552708,001,2024-11-07_21h06.39.213,word priming,2024.1.5,None,2024-11-07 21h06.50.199891 +0530,
,c_s_i_n,,,,,0,1,1,3,80.63850820017979,,,,,,,,,80.62205290002748,80.63850820017979,80.63850820017979,80.63850820017979,0.004957900149747729,84.50665540015325,coushion,[-0.002777777777777778],[-0.07962962962962963],[1],[0],[0],[3.879188199993223],[],552708,001,2024-11-07_21h06.39.213,word priming,2024.1.5,None,2024-11-07 21h06.50.199891 +0530,
,_p_a_d_,,,,,0,2,2,7,84.52656440017745,,,,,,,,,84.50760370003991,84.52656440017745,84.52656440017745,84.52656440017745,0.003433800069615245,89.26225440017879,keypad,[-0.002777777777777778],[-0.07962962962962963],[1],[0],[0],[4.750737399794161],[],552708,001,2024-11-07_21h06.39.213,word priming,2024.1.5,None,2024-11-07 21h06.50.199891 +0530,
,_oo_,,,,,0,3,3,2,89.27993119996972,,,,,,,,,89.26322980015539,89.27993119996972,89.27993119996972,89.27993119996972,0.004315700149163604,92.29870690009557,book,[-0.002777777777777778],[-0.07962962962962963],[1],[0],[0],[3.0307137998752296],[],552708,001,2024-11-07_21h06.39.213,word priming,2024.1.5,None,2024-11-07 21h06.50.199891 +0530,
,_o_s_,,,,,0,4,4,8,92.3169382000342,,,,,,,,,92.29964740015566,92.3169382000342,92.3169382000342,92.3169382000342,0.003380900016054511,102.30814570002258,,[],[],[],[],[],[],[],552708,001,2024-11-07_21h06.39.213,word priming,2024.1.5,None,2024-11-07 21h06.50.199891 +0530,
,o_a_g_,,,,,0,5,5,9,102.3250506001059,,,,,,,,,102.3090723999776,102.3250506001059,102.3250506001059,102.3250506001059,0.014318499946966767,107.68322500004433,orange,[-0.002777777777777778],[-0.07962962962962963],[1],[0],[0],[5.3685846999287605],[],552708,001,2024-11-07_21h06.39.213,word priming,2024.1.5,None,2024-11-07 21h06.50.199891 +0530,
,_a_e,,,,,0,6,6,0,107.70081920013763,,,,,,,,,107.68438410013914,107.70081920013763,107.70081920013763,107.70081920013763,0.004079800099134445,112.35433050012216,case,[-0.002777777777777778],[-0.07962962962962963],[1],[0],[0],[4.665335800033063],[],552708,001,2024-11-07_21h06.39.213,word priming,2024.1.5,None,2024-11-07 21h06.50.199891 +0530,
,_ea_o_,,,,,0,7,7,5,112.37212370010093,,,,,,,,,112.35556720010936,112.37212370010093,112.37212370010093,112.37212370010093,0.0045068999752402306,118.69423360005021,peacock,[-0.002777777777777778],[-0.07962962962962963],[1],[0],[0],[6.333717100089416],[],552708,001,2024-11-07_21h06.39.213,word priming,2024.1.5,None,2024-11-07 21h06.50.199891 +0530,
,t_g_r,,,,,0,8,8,1,118.71186310006306,,,,,,,,,118.6951775001362,118.71186310006306,118.71186310006306,118.71186310006306,0.003379100002348423,121.88120390009135,tiger,[-0.002777777777777778],[-0.07962962962962963],[1],[0],[0],[3.182150899898261],[],552708,001,2024-11-07_21h06.39.213,word priming,2024.1.5,None,2024-11-07 21h06.50.199891 +0530,
,c_m_r,,,,,0,9,9,6,121.89738410012797,,,,,,,,,121.88215159997344,121.89738410012797,121.89738410012797,121.89738410012797,0.0033131998497992754,125.23484709998593,camera,[-0.002777777777777778],[-0.07962962962962963],[1],[0],[0],[3.348873000126332],[],552708,001,2024-11-07_21h06.39.213,word priming,2024.1.5,None,2024-11-07 21h06.50.199891 +0530,
