study_word,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,text.stopped,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
chart,,0,0,0,6,,,,,0.075407600030303,,0.0121800999622792,0.075407600030303,0.075407600030303,8.085387099999934,9.355509200133383,4.225925925925926,9.312298000091687,,,,,,,,,,,,,,,552708,001,2024-11-07_21h06.39.213,word priming,2024.1.5,None,2024-11-07 21h06.50.199891 +0530,
phone,,0,1,1,2,,,,,9.387255999958143,,9.356116800103337,9.387255999958143,9.387255999958143,,10.90633360017091,2.637037037037037,1.5200104999821633,,,,,,,,,,,,,,,552708,001,2024-11-07_21h06.39.213,word priming,2024.1.5,None,2024-11-07 21h06.50.199891 +0530,
T-shirt,,0,2,2,7,,,,,10.936861400026828,,10.906749299960211,10.936861400026828,10.936861400026828,,12.558188599999994,3.5407407407407407,1.621210299897939,,,,,,,,,,,,,,,552708,001,2024-11-07_21h06.39.213,word priming,2024.1.5,None,2024-11-07 21h06.50.199891 +0530,
police,,0,3,3,12,,,,,12.586127000162378,,12.558636500034481,12.586127000162378,12.586127000162378,,13.730649900157005,3.5407407407407407,1.1446720000822097,,,,,,,,,,,,,,,552708,001,2024-11-07_21h06.39.213,word priming,2024.1.5,None,2024-11-07 21h06.50.199891 +0530,
case,,0,4,4,10,,,,,13.758139800047502,,13.731047300156206,13.758139800047502,13.758139800047502,,15.140719700139016,2.4037037037037035,1.3810865001287311,,,,,,,,,,,,,,,552708,001,2024-11-07_21h06.39.213,word priming,2024.1.5,None,2024-11-07 21h06.50.199891 +0530,
marble,,0,5,5,3,,,,,15.166234000120312,,15.141246600076556,15.166234000120312,15.166234000120312,,16.80815020017326,3.7296296296296294,1.6407731999643147,,,,,,,,,,,,,,,552708,001,2024-11-07_21h06.39.213,word priming,2024.1.5,None,2024-11-07 21h06.50.199891 +0530,
poster,,0,6,6,14,,,,,16.83409500005655,,16.80855890014209,16.83409500005655,16.83409500005655,,18.65106500010006,2.4,1.8170053998474032,,,,,,,,,,,,,,,552708,001,2024-11-07_21h06.39.213,word priming,2024.1.5,None,2024-11-07 21h06.50.199891 +0530,
board,,0,7,7,4,,,,,18.677877000067383,,18.651421800022945,18.677877000067383,18.677877000067383,,19.558011300163344,2.4,0.8773922000546008,,,,,,,,,,,,,,,552708,001,2024-11-07_21h06.39.213,word priming,2024.1.5,None,2024-11-07 21h06.50.199891 +0530,
keys,,0,8,8,13,,,,,19.58792069996707,,19.55842090002261,19.58792069996707,19.58792069996707,,20.79696990014054,2.4,1.207757500000298,,,,,,,,,,,,,,,552708,001,2024-11-07_21h06.39.213,word priming,2024.1.5,None,2024-11-07 21h06.50.199891 +0530,
cruise,,0,9,9,11,,,,,20.823242099955678,,20.79743260005489,20.823242099955678,20.823242099955678,,22.33929849998094,4.192592592592593,1.5162533998955041,,,,,,,,,,,,,,,552708,001,2024-11-07_21h06.39.213,word priming,2024.1.5,None,2024-11-07 21h06.50.199891 +0530,
book,,0,10,10,0,,,,,22.365940100047737,,22.33973000012338,22.365940100047737,22.365940100047737,30.376863500103354,68.27597420010716,2.7481481481481485,45.90843369998038,,,,,,,,,,,,,,,552708,001,2024-11-07_21h06.39.213,word priming,2024.1.5,None,2024-11-07 21h06.50.199891 +0530,
laptop,,0,11,11,5,,,,,68.30300260009244,,68.27641100017354,68.30300260009244,68.30300260009244,,69.26677680015564,2.7481481481481485,0.9622249999083579,,,,,,,,,,,,,,,552708,001,2024-11-07_21h06.39.213,word priming,2024.1.5,None,2024-11-07 21h06.50.199891 +0530,
cushion,,0,12,12,1,,,,,69.29392610001378,,69.26712800003588,69.29392610001378,69.29392610001378,,70.27600449998863,2.7481481481481485,0.982408800162375,,,,,,,,,,,,,,,552708,001,2024-11-07_21h06.39.213,word priming,2024.1.5,None,2024-11-07 21h06.50.199891 +0530,
mouse,,0,13,13,8,,,,,70.30289060017094,,70.2763751000166,70.30289060017094,70.30289060017094,,71.30441670003347,2.140740740740741,0.9932313000317663,,,,,,,,,,,,,,,552708,001,2024-11-07_21h06.39.213,word priming,2024.1.5,None,2024-11-07 21h06.50.199891 +0530,
